name,stars,language,forks_count,watchers,last_push,created_at,description,url
YOLO-Segmentation-Annotation-Visualizer,1,Jupyter Notebook,0,1,2024-11-10 17:50:54+00:00,2024-11-09 17:29:37+00:00,Yolo Segmentation Annotation Visualizer,https://github.com/SakibAhmedShuva/YOLO-Segmentation-Annotation-Visualizer
CVAT-Segmentation-to-YOLO-Converter,1,Jupyter Notebook,0,1,2024-11-06 18:38:37+00:00,2024-10-01 17:52:22+00:00,This script converts CVAT segmentation data or annotations in COCO JSON format to YOLOv8 / YOLOv11compatible format,https://github.com/SakibAhmedShuva/CVAT-Segmentation-to-YOLO-Converter
COCO-JSON-to-YOLO-Segmentation-Converter-and-Splitter,1,Jupyter Notebook,0,1,2025-03-15 18:00:28+00:00,2024-11-06 18:23:25+00:00,COCO-JSON-to-YOLO-Segmentation-Converter,https://github.com/SakibAhmedShuva/COCO-JSON-to-YOLO-Segmentation-Converter-and-Splitter
Advanced-OCR-Flask-App,0,Python,0,0,2024-12-03 18:03:04+00:00,2024-09-21 18:38:21+00:00,Advanced-OCR-Flask-App,https://github.com/SakibAhmedShuva/Advanced-OCR-Flask-App
MariaDB-on-Localhost,0,Jupyter Notebook,0,0,2025-03-04 16:44:36+00:00,2025-01-24 13:37:21+00:00,MariaDB on Localhost,https://github.com/SakibAhmedShuva/MariaDB-on-Localhost
Postman-Collection-Toolkit,0,HTML,0,0,2025-03-02 16:39:30+00:00,2025-03-02 16:36:18+00:00,N/A,https://github.com/SakibAhmedShuva/Postman-Collection-Toolkit
PostgreSQL-Database-Downloader-Toolkit,0,Jupyter Notebook,0,0,2025-05-22 18:13:26+00:00,2024-12-30 16:10:10+00:00,PostgreSQL Database Downloader,https://github.com/SakibAhmedShuva/PostgreSQL-Database-Downloader-Toolkit
Paddle_OCR,0,Jupyter Notebook,0,0,2025-01-16 03:54:44+00:00,2024-12-23 19:29:00+00:00,Paddle_OCR,https://github.com/SakibAhmedShuva/Paddle_OCR
One-Click-Form-Filler-Chrome-Extension,0,JavaScript,0,0,2025-02-18 09:57:52+00:00,2025-02-04 04:34:39+00:00,One Click Form Filler Chrome Extension,https://github.com/SakibAhmedShuva/One-Click-Form-Filler-Chrome-Extension
OCR-with-LLM-Models,0,Jupyter Notebook,0,0,2025-05-23 16:09:19+00:00,2025-05-11 13:21:07+00:00,OCR with LLM Models,https://github.com/SakibAhmedShuva/OCR-with-LLM-Models
OCR-to-Label-Studio,0,Python,0,0,2024-12-14 16:36:51+00:00,2024-12-14 16:30:16+00:00,N/A,https://github.com/SakibAhmedShuva/OCR-to-Label-Studio
NER-with-Transformers,0,Jupyter Notebook,0,0,2024-11-16 15:29:34+00:00,2024-10-15 18:27:00+00:00,NER with Transformers,https://github.com/SakibAhmedShuva/NER-with-Transformers
Mistral-OCR-Based-Invoice-Analyzer,0,HTML,0,0,2025-05-19 17:42:06+00:00,2025-05-19 14:02:58+00:00,Mistral-OCR Based Invoice Analyzer,https://github.com/SakibAhmedShuva/Mistral-OCR-Based-Invoice-Analyzer
Mistral-OCR,0,Jupyter Notebook,0,0,2025-03-22 09:08:24+00:00,2025-03-15 16:36:42+00:00,Mistral-OCR,https://github.com/SakibAhmedShuva/Mistral-OCR
Medical-Report-Analyzer,0,HTML,0,0,2025-04-12 06:15:47+00:00,2025-03-25 09:10:32+00:00,N/A,https://github.com/SakibAhmedShuva/Medical-Report-Analyzer
MariaDB-Tools,0,Jupyter Notebook,0,0,2025-03-21 16:13:20+00:00,2025-03-18 06:21:10+00:00,MariaDB-Tools,https://github.com/SakibAhmedShuva/MariaDB-Tools
low-light-and-car-visibility-detector-API,0,Python,1,0,2024-10-03 10:54:46+00:00,2024-04-17 18:34:46+00:00,N/A,https://github.com/SakibAhmedShuva/low-light-and-car-visibility-detector-API
PyCodeCleanse,0,Jupyter Notebook,0,0,2025-04-27 16:18:48+00:00,2025-04-11 05:46:16+00:00,A professional Python utility for removing comments and docstrings from Python code files while preserving functionality.,https://github.com/SakibAhmedShuva/PyCodeCleanse
Local-LLM-Chat-Engine,0,Jupyter Notebook,0,0,2025-05-19 17:37:47+00:00,2025-05-08 15:06:55+00:00,Local-LLM-Chat-Engine,https://github.com/SakibAhmedShuva/Local-LLM-Chat-Engine
Liveliness-Orientation-Smile-Blink-Detection-API,0,Python,0,0,2024-09-28 10:34:44+00:00,2024-09-24 08:19:10+00:00,"Liveliness Detection: Facial Orientation, Smile, Blink Detection API",https://github.com/SakibAhmedShuva/Liveliness-Orientation-Smile-Blink-Detection-API
Language-Translation-with-Transformers,0,Jupyter Notebook,0,0,2024-11-14 18:08:54+00:00,2024-10-15 18:49:36+00:00,Language Translation with Transformers,https://github.com/SakibAhmedShuva/Language-Translation-with-Transformers
Label-Studio-Text-Label-Remover,0,Python,0,0,2024-10-01 18:03:42+00:00,2024-09-17 15:46:30+00:00,N/A,https://github.com/SakibAhmedShuva/Label-Studio-Text-Label-Remover
label-studio-text-annotation-data-splitter,0,Python,0,0,2024-09-29 18:19:50+00:00,2024-09-17 16:09:43+00:00,Label Studio Text Annotation Data Splitter,https://github.com/SakibAhmedShuva/label-studio-text-annotation-data-splitter
Label-Studio-JSON-to-CoNLL-Converter,0,Jupyter Notebook,0,0,2024-11-14 17:56:42+00:00,2024-10-31 19:42:54+00:00,Label Studio JSON to CoNLL Converter,https://github.com/SakibAhmedShuva/Label-Studio-JSON-to-CoNLL-Converter
Label-Studio-JSON-Dataset-Toolkit,0,Jupyter Notebook,0,0,2025-05-17 15:02:44+00:00,2024-11-27 16:38:01+00:00,Label-Studio-JSON-Dataset-Toolkit,https://github.com/SakibAhmedShuva/Label-Studio-JSON-Dataset-Toolkit
Label-Studio-JSON-Cleaner,0,Jupyter Notebook,0,0,2024-11-27 19:51:02+00:00,2024-11-26 16:49:43+00:00,Label Studio JSON Cleaner,https://github.com/SakibAhmedShuva/Label-Studio-JSON-Cleaner
Label-Studio-CoNLL-to-Hugging-Face-JSON-Converter-API,0,Python,0,0,2024-10-29 17:53:34+00:00,2024-10-23 16:44:46+00:00,Label Studio CoNLL to Hugging Face Json Dataset,https://github.com/SakibAhmedShuva/Label-Studio-CoNLL-to-Hugging-Face-JSON-Converter-API
Kaggle-API-Usage,0,Python,0,0,2025-03-29 16:29:30+00:00,2025-03-23 02:38:17+00:00,Kaggle API Usage,https://github.com/SakibAhmedShuva/Kaggle-API-Usage
JWT-API-Security-Evolution,0,Python,0,0,2024-11-04 16:38:31+00:00,2024-11-02 19:47:09+00:00,"A comprehensive demonstration of evolving API security implementations using JWT (JSON Web Token) authentication in Flask, from basic to production-ready approaches. This repository uses a simple calculator API as an example to showcase different levels of security implementation.",https://github.com/SakibAhmedShuva/JWT-API-Security-Evolution
Project-Timeline-Visualizer,0,HTML,0,0,2025-04-25 17:48:09+00:00,2025-03-25 02:05:42+00:00,Project Timeline Visualizer,https://github.com/SakibAhmedShuva/Project-Timeline-Visualizer
Real-time-Light-Detection-API,0,HTML,0,0,2024-10-05 15:42:59+00:00,2024-04-13 19:27:18+00:00,N/A,https://github.com/SakibAhmedShuva/Real-time-Light-Detection-API
Qwen-OCR-Bot,0,HTML,0,0,2025-05-15 04:38:41+00:00,2025-05-10 10:37:37+00:00,Qwen-OCR-Bot,https://github.com/SakibAhmedShuva/Qwen-OCR-Bot
jupyter-notebook-ipynb-to-py-converter,0,Python,0,0,2025-04-29 18:40:09+00:00,2025-04-13 15:20:20+00:00,jupyter-to-py-converter,https://github.com/SakibAhmedShuva/jupyter-notebook-ipynb-to-py-converter
YOLO-to-COCO-JSON-Converter,0,Jupyter Notebook,0,0,2025-01-20 09:29:50+00:00,2024-11-06 17:03:54+00:00,YOLO to COCO JSON Converter,https://github.com/SakibAhmedShuva/YOLO-to-COCO-JSON-Converter
YOLO-Multi-GPU-Training,0,Jupyter Notebook,0,0,2025-04-22 17:16:41+00:00,2025-04-21 03:56:56+00:00,yolo-multi-gpu-training,https://github.com/SakibAhmedShuva/YOLO-Multi-GPU-Training
YOLO-Model-Label-Changer,0,Jupyter Notebook,0,0,2024-11-17 18:36:55+00:00,2024-11-11 16:50:12+00:00,YOLO-Model-Label-Changer,https://github.com/SakibAhmedShuva/YOLO-Model-Label-Changer
Working-with-Ollama,0,Jupyter Notebook,0,0,2024-11-17 12:02:46+00:00,2024-11-17 11:43:52+00:00,Working with Ollama,https://github.com/SakibAhmedShuva/Working-with-Ollama
Voice-Analysis-Toolkit,0,Jupyter Notebook,0,0,2025-03-14 09:04:40+00:00,2025-01-27 18:05:03+00:00,Voice Analysis Toolkit,https://github.com/SakibAhmedShuva/Voice-Analysis-Toolkit
